 ,Layers,  Compression ,50 Yard Spin,50 YD Launch,PW Carry,PW Distance,PW Club Speed,PW Ball Speed,PW Spin ,PW Smash Factor,PW Launch,7 Iron Carry,7 Iron Distance,7 Iron Club Speed,7 Iron Ball Speed,7 Iron Spin,7 Iron Smash,7 Iron Launch,Driver Carry,Driver Distance,Driver Club Speed,Driver Ball Speed,Driver Spin,Driver Smash,Driver Launch,Green Spin,Accuracy,Consistency,Durability,Feel,Miss Hit Feel,Forgiveness,Value
Bridgestone E12 Straight,2,70,7540,27.9,125.7,126.5,78,96.8,6487,1.24,21.9,164.4,166.6,83.4,115.7,5164,1.39,17.4,217.9,226.4,96.1,135.2,2185,1.41,17.4,35%,8/10,8/10,6/10,8/10,6/10,6/10,5/10
Bridgestone E12 High Launch,2,57,7997,29.4,122.3,122.8,78.1,95.7,6926,1.23,23.7,159.6,161.2,83.7,113.9,5490,1.36,18.1,219.6,227.8,96.9,136.8,2327,1.41,17.6,50%,6/10,6/10,7/10,6/10,4/10,6/10,5/10
Bridgestone E12 Speed,3,105,8240,30.8,122,122.2,79.3,96.1,7229,1.21,24.5,165.6,167.1,84.8,117.4,5562,1.38,17.9,219.7,228.6,95.6,137.2,2276,1.44,16.4,50%,6/10,8/10,6/10,4/10,4/10,8/10,5/10
Wilson Zip,2,71,6535,38.2,122,122.6,79.9,95.7,5879,1.2,29.7,160.1,161.5,84.2,114.7,5662,1.36,18,222.2,229.1,97,137.8,2510,1.42,17.8,20%,10/10,10/10,4/10,6/10,4/10,10/10,9/10
Wilson Duo 360,2,65,7760,30.2,125.8,126.7,78.9,96.9,6393,1.23,22.2,166,168.9,84.1,116.3,5070,1.38,16.9,221.2,229.5,97.4,137.6,2341,1.41,16.7,10%,6/10,6/10,6/10,6/10,4/10,8/10,6/10
Trust panther,2,92,7820,28.4,121.8,122.5,79,95,6715,1.2,22.2,161.7,164.4,84.1,114.3,5035,1.36,16.3,222.9,231,97.2,138,2288,1.42,17,60%,8/10,6/10,7/10,8/10,6/10,6/10,10/10
Callaway Hex Soft,2,,8236,30.2,124.7,125.2,79.2,97,6851,1.23,23.3,162.2,163.7,85.4,115.5,5570,1.35,17.1,222.3,231.6,98.4,139.2,2305,1.41,16,10%,6/10,6/10,6/10,8/10,6/10,6/10,7/10
Maxfli Tour S 2025,3,91,7926,29.7,123.9,124.4,78.5,96.8,6809,1.23,24.9,162.4,164,83.7,115.5,5490,1.38,17.7,224,232.2,97.2,138,2172,1.42,17.4,65%,8/10,4/10,10/10,8/10,6/10,8/10,9/10
Taylormade Speedsoft Ink,2,65,7683,26.1,115.2,115.2,78.8,92.6,7402,1.18,26.1,159.9,162,85.1,114.2,5440,1.34,16.3,222.6,232.2,98.5,139.1,2198,1.41,14.9,20%,10/10,8/10,7/10,8/10,6/10,10/10,5/10
Snell 2.0,2,105,8876,25.9,117.9,118.5,79.1,93.3,7265,1.18,22,157.9,159.5,85.1,113.7,5728,1.34,16.5,222.6,233.1,99.7,139.6,2133,1.4,14.9,50%,6/10,8/10,8/10,10/10,6/10,6/10,5/10
Titleist Trufeel 24,2,,8150,28.5,122.1,122.6,77.5,95.8,6995,1.24,23.9,160.3,161.5,82.8,115,5775,1.39,18.5,225.1,233.1,97.8,139.2,2325,1.43,16.9,35%,8/10,8/10,9/10,8/10,6/10,6/10,7/10
Srixon Q Star Tour,3,,7833,26.4,118.3,118.4,79.6,94.3,7467,1.18,23.3,160,162.1,84.9,114.4,5473,1.35,16.2,224.5,233.2,96.3,140.4,2438,1.46,15.7,55%,4/10,4/10,7/10,8/10,6/10,4/10,6/10
Snyder Tour,3,103,9508,23.4,121.1,122.1,78.9,95,7123,1.2,20.1,162,164.3,85.1,115.8,5686,1.36,17.9,223.2,233.4,99.1,140.1,2174,1.41,14.4,100%,8/10,8/10,9/10,10/10,8/10,6/10,4/10
Taylormade Speedsoft Yellow,2,63,8050,27.9,126.3,126.8,78.7,98.2,7007,1.25,23.4,166.1,167.3,85.6,118.4,5780,1.38,18.6,227.3,233.8,96.4,141.5,2665,1.47,17.5,30%,8/10,8/10,8/10,8/10,6/10,8/10,5/10
Srixon Q Star Tour Divide,3,,7995,28.7,123.4,123.8,79.5,96.4,6932,1.21,23.5,161.3,163.9,84.5,114.8,5208,1.36,15.4,223.2,233.9,97.5,139.1,1958,1.43,15.3,,,,,,,,
Taylormade Speedsoft White,2,55,7801,29.2,125.8,126.3,78.9,97.8,7014,1.24,22.9,167.2,169.1,84.9,118.5,5468,1.4,15.7,225.8,234,97.1,141.4,2469,1.46,16,35%,6/10,8/10,9/10,6/10,4/10,8/10,5/10
Wilson Triad,3,81,8334,29.8,117.1,117.3,77.2,93.3,7341,1.21,24.5,163.6,164.8,83.7,116.8,5757,1.4,18.5,226.8,234.1,97,138.8,2213,1.43,17.9,40%,10/10,8/10,10/10,10/10,8/10,8/10,8/10
Srixon Z star 2025,3,,8279,29.7,124.4,124.5,78.5,97.9,7078,1.25,25.8,164,165.2,84.7,117,5687,1.38,19.5,227.1,234.1,96.9,139.4,2330,1.44,18.7,90%,6/10,4/10,10/10,10/10,10/10,6/10,8/10
Top Flite Control,2,75,7932,31.2,120.9,121.2,78.6,95.3,7313,1.21,23.3,156.3,158.6,84.5,112.1,5260,1.33,16.9,226.2,234.4,98.5,141.8,2579,1.44,14.5,10%,10/10,6/10,4/10,4/10,4/10,8/10,9/10
Bridgestone E12 Splash Dry,2,78,6973,31.1,125.5,126.1,78,97.3,6973,1.25,21.5,166.5,168.1,83.8,118.4,5640,1.41,15.8,227,234.8,96.8,141.3,2469,1.46,16.4,10%,6/10,8/10,9/10,6/10,4/10,6/10,5/10
Kirkland V3 2025,3,105,7949,28.7,125.3,125.8,78.3,97.5,6962,1.25,23.6,163.3,165.3,83.6,115.7,5336,1.38,17,226,235.1,95.6,139.2,2053,1.46,16.5,65%,4/10,6/10,5/10,10/10,6/10,6/10,9/10
Vice Pro Junior,3,67,7571,26.7,121.3,121.8,77.8,95.1,6893,1.22,24,161.2,162.9,84.8,114.8,5471,1.35,17.2,224.8,235.2,98,140.4,2081,1.43,14.7,20%,10/10,10/10,8/10,6/10,4/10,8/10,6/10
Snyder Speed,3,110,8450,25,125.1,125.5,79.4,97.6,7320,1.23,20.8,160.8,162.2,86,114.8,5598,1.34,17.7,226.8,235.5,98.7,141.3,2384,1.43,15,30%,8/10,8/10,9/10,8/10,6/10,8/10,5/10
Trust Aurora,3,95,7975,28.1,119.3,119.7,78.6,94.2,7118,1.2,23.7,159.5,161.3,84.8,113.8,5433,1.34,18,226.3,235.5,96.6,138.8,1952,1.44,17.4,70%,10/10,6/10,1/10,2/10,2/10,2/10,9/10
Snell 4.0,4,99,7757,25.2,117.4,117.7,78.5,93.4,7446,1.19,23.1,157.4,159.9,85.4,111.9,5062,1.31,17.4,226.8,235.7,98.8,141.1,2324,1.43,15.6,45%,10/10,8/10,5/10,10/10,6/10,6/10,5/10
Legato LTX 3085 2025,3,92,8252,28.4,124.1,124.4,78.5,97.2,7168,1.24,23.7,166.9,168.3,84,118.1,5549,1.41,17.6,227.2,236,97.5,140.4,2199,1.44,16.5,65%,6/10,6/10,8/10,8/10,4/10,4/10,10/10
Members Mark,3,85,8432,30.3,112.1,112,78,91,7721,1.17,25.8,157.3,158.6,82.9,113.5,5826,1.37,18.3,227.3,236,97.8,142.1,2458,1.45,14.7,75%,8/10,8/10,9/10,8/10,6/10,8/10,10/10
Bridgestone Tour B RXS,3,,8013,28.5,124.3,124.8,79.6,96.7,6963,1.21,21.7,159.9,161.6,85.7,114.5,5593,1.33,16.7,227.1,236.1,98.4,140,2130,1.43,16.1,75%,8/10,8/10,9/10,8/10,6/10,6/10,8/10
Maxfli Softfli,2,58,7894,27.7,120.2,120.5,78.2,95.1,7175,1.22,24.9,162,163.4,84.5,115.4,5580,1.37,18.2,227.2,236.3,96.8,139.8,2040,1.44,17.1,25%,6/10,6/10,10/10,8/10,6/10,8/10,9/10
Tour Edge Hot Launch,2,55,8370,28.8,125.6,126.1,77.9,96.1,6867,1.23,24.8,164.5,165.9,85,115.5,5907,1.36,18.1,228.4,236.4,97.4,140.7,2814,1.44,16.4,15%,8/10,7/10,10/10,8/10,8/10,7/10,8/10
