 ,Layers,Compression,Cover,Dimples,Chipping Spin,Chipping Launch, Pitch Spin,Pitch Launch,9 Iron Carry,9 Iron Distance,9I Club Speed,9I Ball Speed,9 Iron Spin ,9I Smash Factor,9 Iron Launch,7 Iron Carry,7 Iron Distance,7 Iron Club Speed,7 Iron Ball Speed,7 Iron Spin,7 Iron Smash,7 Iron Launch,4H Carry,4H Distance,4H Club speed,4H Ball Speed,4H Spin,4H Smash,4H Launch,Driver Carry,Driver Distance,Driver Club Speed,Driver Ball Speed,Driver Spin,Smash,Launch,Accuracy,Consistency,Durability,Forgiveness,Price,Link
Bigga 4 Prototype,4,N/A,Urethane,N/A,4922,24.5,7729,25,140.4,142,79,104.2,6194,1.32,16.4,166.8,171.4,84.7,118.3,5022,1.4,11.1,191.4,199.5,91,131.8,4074,1.45,8.4,220.7,233.1,95.2,140.3,2512,1.47,13.4,N/A,N/A,N/A,N/A,N/A,N/A
Bigga II Prototype,2,N/A,Urethane,N/A,4601,21.6,6968,20.9,135.1,138,78.6,101.6,6006,1.29,15.8,157.4,163.5,84,114.2,5009,1.36,11.6,175.5,186.9,91.1,126.4,4339,1.39,9.3,223.1,235.4,95.2,138.4,2157,1.46,14.8,N/A,N/A,N/A,N/A,N/A,N/A
Snyder Range Ball,2,82,Ionomer,N/A,4875,26.2,7853,28,142.6,144.2,78.5,104.3,5972,1.33,17,163.7,167.7,84.5,115.5,5023,1.37,13.4,194.4,206.9,90.4,129.7,2979,1.44,10.2,220.8,236.6,95.8,140.3,2163,1.46,13,5/10,5/10,8/10,8/10,N/A,N/A
Piss Missile,4,100,Ionmer,332,4844,28.4,8323,28.8,142.7,144.3,78.7,104.8,6109,1.33,17,168.3,172,84.2,118.5,5200,1.41,13.4,190,204.1,90.3,130.6,3094,1.45,9.6,222.2,237.7,95.5,139.3,2074,1.46,13.3,5/10,7/10,7/10,8/10,$36,PISS MISSILE
Wilson Tour Velocity Blue,2,77,Ionomer,400,5350,30.9,8340,31.3,142.3,143.9,78.6,104.2,6064,1.32,17.5,170,175.1,84.6,118.7,4827,1.4,12.2,183.5,195.5,90.7,129.5,3908,1.43,8.9,226.4,238.5,95.9,140.7,2281,1.47,13.7,8/10,9/10,6/10,8/10,$18 (15 balls),TOUR VELOCITY
Wilson Profile,2,85,Ionomer,N/A,5112,33,6604,35,142.4,143.5,78.8,104.8,6281,1.33,20.1,168.9,171.4,84.6,118.1,5386,1.4,14.7,195.4,205.4,90.9,130.9,3448,1.44,10.3,226.5,239.2,95.6,139.4,2216,1.45,14.2,6/10,8/10,5/10,7/10,$36 (36 balls),WILSON PROFILE
Parks TRX ,3,97,Urethane,332,4809,22.4,8120,23.7,141.6,143,78.3,105.4,6483,1.35,16.9,167.5,174.9,84.7,118.2,4235,1.4,10.8,192.6,204.1,90.7,131.4,3517,1.45,9.3,229,239.2,95.7,141.6,2464,1.48,16.1,7/10,6/10,8/10,6/10,$30,PARKS TRX
Taylormade TP5X ,5,110,Urethane,322,4307,23.6,7446,24.1,138.7,140.6,78,102.2,5850,1.31,17.9,167,173.5,84.5,117.7,4451,1.39,12.9,185.2,201.2,89.3,128.9,2855,1.44,9.7,226.9,239.7,95.7,139.9,2030,1.46,14.4,6/10,6/10,8/10,5/10,$58,TM TP5X
Bigga Ball,2,78,Du Pont Surlyn,352,5123,28.2,7978,27.8,140.7,142.3,78.8,103.9,6206,1.32,17.3,168.3,172.2,84.3,117.8,5142,1.4,13.4,188.5,200.3,90.5,129.8,3606,1.44,10.1,227.3,240.1,95.4,140.5,2095,1.47,14,9/10,8/10,9/10,7/10,$20,Bigga Balls Golf Balls - White (1 Dozen)
Seed SD-17,2,90,Urethane,332,5207,28.4,8344,25.7,136.7,138,78.4,101.6,6403,1.3,17.5,169.3,173.7,84.5,119.5,4970,1.41,12,190.6,198.6,90.5,129.7,3959,1.43,9,228.8,240.4,95.9,139.7,2332,1.46,13.8,5/10,6/10,9/10,6/10,$25-29,SEED SD 17
Taylormade TP5 ,5,95,Urethane,322,3873,23.3,6932,22.7,139.7,142.1,78,103.1,5764,1.32,16.6,165.7,170.4,84.5,116.7,4946,1.38,12.7,184.8,200.7,89.6,129.2,2937,1.44,9.5,229.3,240.5,96,140.5,2126,1.46,14.4,4/10,2/10,6/10,4/10,$58,TM TP5 
