Ball,Compression,Condition,Footprint_Area_yd2,Side_Spray_yd,Distance_Range_yd,Axis_deg
Amazon Basics,55,7 Iron Fast,72.5,4.53,5.32,0.8
Amazon Basics,55,7 Iron Mid,388,9.72,12.73,2.67
Amazon Basics,55,Driver Fast,251.3,12.99,6.46,3.52
Amazon Basics,55,Driver Mid,118.1,8.71,6.48,2.57
Amazon Basics,55,Wedge 35,0.46,0.44,0.34,
Amazon Basics,55,Wedge Full (Dry),2.9,1.24,0.76,0
Bridgestone e12 Straight,66,7 Iron Fast,381.7,13.41,9.35,0.78
Bridgestone e12 Straight,66,7 Iron Mid,255.6,5.65,14.4,2.2
Bridgestone e12 Straight,66,Driver Fast,621.6,15.51,13.47,1.55
Bridgestone e12 Straight,66,Driver Mid,546.8,8.95,19.99,2.22
Bridgestone e12 Straight,66,Wedge 35,0.43,0.32,0.46,
Bridgestone e12 Straight,66,Wedge Full (Dry),6.45,1.56,1.36,
Bridgestone Tour B RX,89,7 Iron Fast,94.6,6.19,4.92,1.94
Bridgestone Tour B RX,89,7 Iron Mid,195.1,7.5,8.48,1.63
Bridgestone Tour B RX,89,Driver Fast,789.7,23.58,10.93,1.16
Bridgestone Tour B RX,89,Driver Mid,456.4,10.76,13.55,0.83
Bridgestone Tour B RX,89,Wedge 35,0.7,0.39,0.58,
Bridgestone Tour B RX,89,Wedge Full (Dry),5.19,1.13,1.46,
Bridgestone Tour B RXS,72,7 Iron Fast,273.4,7.99,12.01,1.22
Bridgestone Tour B RXS,72,7 Iron Mid,211.2,5.38,12.85,1.44
Bridgestone Tour B RXS,72,Driver Fast,1060.7,22.78,14.86,0.4
Bridgestone Tour B RXS,72,Driver Mid,778.5,16.89,16.29,0.98
Bridgestone Tour B RXS,72,Wedge 35,0.36,0.27,0.45,0
Bridgestone Tour B RXS,72,Wedge Full (Dry),4.24,1.31,1.29,
Bridgestone Tour B X,100,7 Iron Fast,277.3,10.41,13.69,2.11
Bridgestone Tour B X,100,7 Iron Mid,113.7,9.95,5.47,0.47
Bridgestone Tour B X,100,Driver Fast,409.5,11.1,12.16,1.45
Bridgestone Tour B X,100,Driver Mid,463.7,9.56,15.49,1.72
Bridgestone Tour B X,100,Wedge 35,0.53,0.34,0.49,0
Bridgestone Tour B X,100,Wedge Full (Dry),2.18,0.67,1.05,
Bridgestone Tour B XS,89,7 Iron Fast,188,6.31,9.82,2.01
Bridgestone Tour B XS,89,7 Iron Mid,325.9,9.73,11.44,1.03
Bridgestone Tour B XS,89,Driver Fast,735,12.34,19.07,1.63
Bridgestone Tour B XS,89,Driver Mid,438.5,11.29,13.62,2.65
Bridgestone Tour B XS,89,Wedge 35,0.53,0.41,0.42,0
Bridgestone Tour B XS,89,Wedge Full (Dry),2.97,1.34,0.83,
Callaway Chrome Soft,77,7 Iron Fast,551.7,13.06,14.34,0.77
Callaway Chrome Soft,77,7 Iron Mid,311.7,9.53,10.57,1.47
Callaway Chrome Soft,77,Driver Fast,435.8,20.18,8.94,1.9
Callaway Chrome Soft,77,Driver Mid,491.7,14.27,10.99,1.96
Callaway Chrome Soft,77,Wedge 35,0.68,0.38,0.61,
Callaway Chrome Soft,77,Wedge Full (Dry),2.38,0.82,0.92,
Callaway Chrome Tour,94,7 Iron Fast,95.6,7.68,4.22,1.51
Callaway Chrome Tour,94,7 Iron Mid,295.4,10.96,9.49,2
Callaway Chrome Tour,94,Driver Fast,270.2,13.97,6.78,0.86
Callaway Chrome Tour,94,Driver Mid,492.7,12.36,14.09,0.92
Callaway Chrome Tour,94,Wedge 35,0.34,0.32,0.36,0
Callaway Chrome Tour,94,Wedge Full (Dry),1.51,0.85,0.57,
Callaway Chrome Tour Triple Diamond,101,7 Iron Fast,221.1,10.37,8.52,2.5
Callaway Chrome Tour Triple Diamond,101,7 Iron Mid,293.8,11.57,8.35,1.46
Callaway Chrome Tour Triple Diamond,101,Driver Fast,1300,32.07,14.25,1.56
Callaway Chrome Tour Triple Diamond,101,Driver Mid,964.2,22.6,15.02,1.38
Callaway Chrome Tour Triple Diamond,101,Wedge 35,0.44,0.3,0.47,0
Callaway Chrome Tour Triple Diamond,101,Wedge Full (Dry),2.77,1.02,0.92,
Callaway Chrome Tour X,99,7 Iron Fast,90.4,5.77,6.54,1.4
Callaway Chrome Tour X,99,7 Iron Mid,361,8.07,14.7,2.26
Callaway Chrome Tour X,99,Driver Fast,323.5,13.03,8.33,1.35
Callaway Chrome Tour X,99,Driver Mid,821.9,13.89,19.81,1.43
Callaway Chrome Tour X,99,Wedge 35,0.28,0.33,0.38,0
Callaway Chrome Tour X,99,Wedge Full (Dry),1.61,0.59,0.88,
Callaway Supersoft,49,7 Iron Fast,184.9,8.17,7.26,1.21
Callaway Supersoft,49,7 Iron Mid,278.9,7.18,12.42,2.91
Callaway Supersoft,49,Driver Fast,962.2,27.07,11.94,3.03
Callaway Supersoft,49,Driver Mid,681.1,13.61,16.76,1.45
Callaway Supersoft,49,Wedge 35,0.45,0.37,0.4,
Callaway Supersoft,49,Wedge Full (Dry),2.68,1.06,1.01,
Kirkland Performance+ White,94,7 Iron Fast,115.7,7.99,5.33,2.56
Kirkland Performance+ White,94,7 Iron Mid,239.6,7.41,12.96,2.08
Kirkland Performance+ White,94,Driver Fast,403.4,20.28,6.84,3.05
Kirkland Performance+ White,94,Driver Mid,473.8,9.37,16.14,1.87
Kirkland Performance+ White,94,Wedge 35,0.34,0.24,0.5,0
Kirkland Performance+ White,94,Wedge Full (Dry),2.6,1.18,0.7,
Kirkland Performance+ Yellow,96,7 Iron Fast,88.4,6.3,4.5,1.43
Kirkland Performance+ Yellow,96,7 Iron Mid,182.5,7.44,7.86,1.75
Kirkland Performance+ Yellow,96,Driver Fast,863.7,20.28,14.1,1.25
Kirkland Performance+ Yellow,96,Driver Mid,697.4,16.13,14.38,2.81
Kirkland Performance+ Yellow,96,Wedge 35,0.37,0.44,0.38,
Kirkland Performance+ Yellow,96,Wedge Full (Dry),2.11,0.93,0.72,
Maxfli Tour,94,7 Iron Fast,102.4,6.01,5.53,1.49
Maxfli Tour,94,7 Iron Mid,179,6.24,9.2,0.48
Maxfli Tour,94,Driver Fast,314.3,13.48,9.01,1.93
Maxfli Tour,94,Driver Mid,398.1,11.49,11.07,2.68
Maxfli Tour,94,Wedge 35,0.49,0.33,0.48,0
Maxfli Tour,94,Wedge Full (Dry),1.83,0.9,0.74,
Maxfli Tour S,80,7 Iron Fast,293.9,13.85,7.1,0.98
Maxfli Tour S,80,7 Iron Mid,370.5,6.59,18.85,1.95
Maxfli Tour S,80,Driver Fast,673.2,20.11,10.69,0.29
Maxfli Tour S,80,Driver Mid,259.8,8.62,11.06,1.19
Maxfli Tour S,80,Wedge 35,0.27,0.21,0.43,0
