Ball,Condition,Ball_Speed_mph,Carry_yd,Total_yd,Spin_rpm
"Amazon Basics",7 Iron Fast,124.11,181.98,191.59,5986
"Amazon Basics",7 Iron Mid,112.34,158.77,169.12,6001
"Amazon Basics",Driver Fast,165.24,269.98,303.07,2002
"Amazon Basics",Driver Mid,147.04,248.97,282.57,2291
"Amazon Basics",Wedge 35,43.27,36.79,43.32,4019
"Amazon Basics",Wedge Full (Dry),81.92,99.05,104.71,7567
"Bridgestone e12 Straight",7 Iron Fast,123.98,182.57,192.54,6172
"Bridgestone e12 Straight",7 Iron Mid,112.37,159.2,169.45,5605
"Bridgestone e12 Straight",Driver Fast,166.36,275.68,308.84,2041
"Bridgestone e12 Straight",Driver Mid,147.65,251.34,284.53,2390
"Bridgestone e12 Straight",Wedge 35,42.7,35.74,41.99,4344
"Bridgestone e12 Straight",Wedge Full (Dry),82.01,99.27,104.62,8077
"Bridgestone Tour B RX",7 Iron Fast,123.56,187.47,199.62,5920
"Bridgestone Tour B RX",7 Iron Mid,111.93,157.87,167.25,5700
"Bridgestone Tour B RX",Driver Fast,167.91,280.61,311.24,2326
"Bridgestone Tour B RX",Driver Mid,148.55,253.99,283.85,2769
"Bridgestone Tour B RX",Wedge 35,42.66,34.75,41.27,5545
"Bridgestone Tour B RX",Wedge Full (Dry),82.83,100.59,104.99,10275
"Bridgestone Tour B RXS",7 Iron Fast,124.05,183.68,192.71,6082
"Bridgestone Tour B RXS",7 Iron Mid,112.27,161.31,172.61,5541
"Bridgestone Tour B RXS",Driver Fast,166.58,274.24,307.17,2180
"Bridgestone Tour B RXS",Driver Mid,147.77,254.15,286.44,2563
"Bridgestone Tour B RXS",Wedge 35,43.23,35.4,42.08,5848
"Bridgestone Tour B RXS",Wedge Full (Dry),83.74,101.98,106.33,10207
"Bridgestone Tour B X",7 Iron Fast,123.92,181.64,190.97,6271
"Bridgestone Tour B X",7 Iron Mid,112.19,156.89,165.37,6072
"Bridgestone Tour B X",Driver Fast,168.9,291.47,326.48,2346
"Bridgestone Tour B X",Driver Mid,149.32,259.1,290.32,2823
"Bridgestone Tour B X",Wedge 35,42.63,34.59,41.16,5754
"Bridgestone Tour B X",Wedge Full (Dry),82.77,100.53,104.84,10307
