Club,ClubSpeed,BallModel,BallSpeed,LaunchAngle,SpinAxis,Spin,MaxHeight,DescentAngle,Carry,Total
Driver,Fast,"Srixon Z-STAR",165.84,9.64,-2.41,2944,87.63,32.6,288.99,316.27
Driver,Fast,"Srixon Z-STAR DIVIDE",165.99,10.14,-2.88,2737,89.23,32.1,289.98,317.43
Driver,Fast,"Member's Mark Pro Series 2",166.98,9.75,0.74,2791,88.2,31.54,293.43,322.2
Driver,Fast,"Wilson Staff Model X",168.02,9.65,-1.33,2873,85.33,31.53,290.48,317.73
Driver,Fast,"TaylorMade TP5",165.27,9.51,-3.25,2720,87.03,31.51,284.48,310.66
Driver,Fast,"Srixon Z-STAR DIAMOND",167.01,9.8,-1.46,2958,85.82,31.25,291.96,322.25
Driver,Fast,"Vice Pro Plus",166.42,9.73,1.19,2786,84.82,30.96,288,319.3
Driver,Fast,"Srixon Z-STAR XV",167.34,9.61,-1.14,2766,84.37,30.71,292.41,324.09
Driver,Fast,"Wilson Staff Model",167.27,9.84,-1.24,2749,83.77,30.66,290.97,321.6
Driver,Fast,"Titleist Pro V1x",167.79,9.58,-0.35,2680,81.93,30.55,290.45,320.09
Driver,Fast,"TaylorMade TP5x",166.28,9.81,-2.04,2524,81.02,30.21,284.51,313.08
Driver,Fast,"Kirkland Performance+ v3.5",166.53,10.05,-3.1,2658,83.6,30.19,291.96,322.72
Driver,Fast,"Srixon Q-STAR TOUR",163.94,9.93,-2.59,2627,80.67,29.81,285.49,316.59
Driver,Fast,"Bridgestone TOUR B X",166.47,9.63,-1.49,2892,82.35,29.81,291.96,324.83
Driver,Fast,"Bridgestone TOUR B XS",165.61,9.36,-1.16,2844,81.47,29.7,291.97,320.99
Driver,Fast,"Callaway Chrome Soft",164.87,9.79,-2.76,2633,79.7,29.58,284.99,318.58
Driver,Fast,"Maxfli Tour X",168.16,9.6,0.27,2565,80.87,29.58,289.96,320.15
Driver,Fast,"PXG Xtreme Tour X",167.65,9.74,-3.16,2669,80.31,29.48,288,320.27
Driver,Fast,"Titleist Tour Soft",167.09,9.75,-4.49,2735,80.78,29.47,290.99,324.26
Driver,Fast,"Bridgestone TOUR B RX",165.32,9.67,-3.27,2673,77.52,29.19,284.48,315.83
Driver,Fast,"Wilson Triad",165.01,9.62,-0.52,2711,77.15,29.17,281.44,314.85
Driver,Fast,"Vice Pro Air",163.71,9.76,0.57,2541,77.92,29.05,282.96,315.19
Driver,Mid,"Srixon Z-STAR DIVIDE",149.02,12.32,-1.97,2444,79.89,32.2,249.52,275.23
Driver,Mid,"TaylorMade TP5",148.59,11.86,-1.32,2626,80.16,31.88,252,277.96
Driver,Mid,"Member's Mark Pro Series 2",149.6,12.09,1.12,2495,79.41,31.81,254.45,279.75
Driver,Mid,"Srixon Z-STAR",148.89,11.98,-1.86,2643,76.91,31.22,247.52,277.34
